,Log Rtn,RSI,MACD,%K,BHS
770,-0.01594203655814374,39.620635441740404,0.3366700678577388,0.2686567164179103,1
771,-0.018068594410500165,28.542787933357914,0.21229420353082418,0.062499999999999445,2
772,0.0023348131082870246,31.380917116657983,0.12040662659627088,0.14342629482071703,1
773,-0.02097402206644462,22.289607837864978,-0.02395437102020992,0.06748466257668681,1
774,-0.005971593047047262,20.37630328302292,-0.15672775238901693,0.145454545454546,2
775,0.00287081536879896,23.98991940347335,-0.24939376055672824,0.1766233766233765,1
776,0.002147715895361493,26.862351947248428,-0.31197375259061744,0.20000000000000073,1
777,-0.04435424863438979,14.275043553092104,-0.5026335896246792,0.020000000000000285,1
778,-0.025490339112208937,10.980420678716243,-0.7268527372767224,0.019900497512437384,2
779,0.04106736318790753,37.85340881951497,-0.7634135767502457,0.34609494640122473,1
780,-0.021575542437208738,31.949750603983958,-0.8527599486824897,0.21718750000000014,1
781,-0.02796318446543954,26.027686348189746,-1.0007918930888593,0.04559748427672943,2
782,0.007959985539444386,30.232764510926557,-1.0806369561640636,0.210958904109589,1
783,0.03961410418903908,47.712837583586115,-1.0048387924063036,0.4608567208271786,0
784,0.010028211714959278,51.361600781363165,-0.9012950596341938,0.5711974110032365,0
785,0.018088036861349074,57.6058703343362,-0.7500708238767331,0.7867647058823535,0
